virus,freq
Acremonium_sclerotigenum_ourmia_like_virus_1,1
Alternaria_alternata_chrysovirus_1,4
Alternaria_alternata_mitovirus_1,1
Alternaria_tenuissima_narnavirus_1,1
Alternaria_tenuissima_negative_stranded_RNA_virus_1,1
Alternaria_tenuissima_negative_stranded_RNA_virus_2,1
Apple_chlorotic_leaf_spot_virus,2
Apple_stem_pitting_virus,36
Arabis_mosaic_virus,36
Arabis_mosaic_virus_small_satellite_RNA_barley_CHE_1991,2
Artichoke_Italian_latent_virus,6
Australian_grapevine_viroid,185
Badnavirus_grapevine_USA_2009,1
Botryotinia_fuckeliana_totivirus_1,1
Botrytis_virus_F,1
Cherry_leaf_roll_virus,1
Citrus_exocortis_viroid,1
Citrus_exocortis_viroid_CEV_g_,1
Cladosporium_cladosporioides_negative_stranded_RNA_virus_1,1
Cladosporium_cladosporioides_negative_stranded_RNA_virus_2,1
Cladosporium_cladosporioides_ourmia_like_virus_1,1
Cladosporium_cladosporioides_ourmia_like_virus_2,1
Cladosporium_tenuissimum_narnavirus_1,1
Cladosporium_uredinicola_ourmiavirus_1,1
Cladosporium_uredinicola_ourmiavirus_2,1
Coniothyrium_diplodiella_chrysovirus_1,4
Coniothyrium_diplodiella_negative_stranded_RNA_virus_1,1
Diplodia_seriata_endornavirus_1,1
Epicoccum_nigrum_mitovirus_1,1
Epicoccum_nigrum_ourmia_like_virus_1,1
Epicoccum_nigrum_ourmia_like_virus_2,1
Fomitiporia_mediterranea_mitovirus_1,1
Grapevine_Algerian_latent_virus,22
Grapevine_Anatolian_ringspot_virus,5
Grapevine_Bulgarian_latent_virus,5
Grapevine_Cabernet_Sauvignon_reovirus,31
Grapevine_Garan_dmak_virus,3
Grapevine_Muscat_rose_virus,3
Grapevine_Pinot_gris_virus,529
Grapevine_Red_Globe_virus,41
Grapevine_Roditis_leaf_discoloration_associated_virus,22
Grapevine_Rupestris_stem_pitting_virus,1
Grapevine_Syrah_virus_1,129
Grapevine_angular_mosaic_virus,1
Grapevine_associated_Alphaflexiviridae_1,1
Grapevine_associated_Gammaflexiviridae_1,1
Grapevine_associated_Partitivirus_2,1
Grapevine_associated_chrysovirus_1,1
Grapevine_associated_chrysovirus_2,1
Grapevine_associated_chrysovirus_3,1
Grapevine_associated_chrysovirus_4,1
Grapevine_associated_hypovirus_1,5
Grapevine_associated_mycovirus_1,1
Grapevine_associated_mycovirus_2,1
Grapevine_associated_mycovirus_3,1
Grapevine_associated_narnavirus_1,5
Grapevine_associated_partitivirus_1,1
Grapevine_associated_totivirus_1,1
Grapevine_associated_totivirus_2,2
Grapevine_associated_totivirus_3,1
Grapevine_associated_tymo_like_virus,2
Grapevine_asteroid_mosaic_associated_virus,19
Grapevine_badnavirus_1,1
Grapevine_berry_inner_necrosis_virus,106
Grapevine_chrome_mosaic_virus,8
Grapevine_chrysovirus,1
Grapevine_cryptic_virus,1
Grapevine_deformation_virus,5
Grapevine_enamovirus_1,3
Grapevine_endophyte_alphaendornavirus,2
Grapevine_fabavirus,57
Grapevine_fanleaf_virus,789
Grapevine_fanleaf_virus_satellite_RNA,158
Grapevine_fleck_virus,101
Grapevine_geminivirus,3
Grapevine_geminivirus_A,24
Grapevine_geminivirus_A_defective_DNA,1
Grapevine_hammerhead_viroid_like_RNA,3
Grapevine_latent_viroid,4
Grapevine_leafroll_associated_virus,2
Grapevine_leafroll_associated_virus_1,638
Grapevine_leafroll_associated_virus_10,13
Grapevine_leafroll_associated_virus_11,20
Grapevine_leafroll_associated_virus_13,13
Grapevine_leafroll_associated_virus_2,571
Grapevine_leafroll_associated_virus_3,1627
Grapevine_leafroll_associated_virus_3m,1
Grapevine_leafroll_associated_virus_4,117
Grapevine_leafroll_associated_virus_5,151
Grapevine_leafroll_associated_virus_6,7
Grapevine_leafroll_associated_virus_7,160
Grapevine_leafroll_associated_virus_8,6
Grapevine_leafroll_associated_virus_9,14
Grapevine_leafroll_associated_virus_Carn,1
Grapevine_leafroll_virus_associated_RNA6,1
Grapevine_partitivirus,5
Grapevine_red_blotch_virus,185
Grapevine_redleaf_associated_virus,4
Grapevine_rootstock_stem_lesion_associated_virus,2
Grapevine_rupestris_stem_pitting_associated_virus,1420
Grapevine_rupestris_stem_pitting_associated_virus_1,5
Grapevine_rupestris_vein_feathering_virus,87
Grapevine_satellite_virus,7
Grapevine_vein_clearing_virus,41
Grapevine_viroid,5
Grapevine_virus_101_14_N_23_9_1_South_Africa_2009,1
Grapevine_virus_99B_SdP2_South_Africa_2008,1
Grapevine_virus_A,460
Grapevine_virus_B,216
Grapevine_virus_D,10
Grapevine_virus_E,63
Grapevine_virus_F,50
Grapevine_virus_G,17
Grapevine_virus_H,75
Grapevine_virus_I,34
Grapevine_virus_J,2
Grapevine_virus_K,3
Grapevine_virus_L,48
Grapevine_virus_M,1
Grapevine_virus_Q,4
Grapevine_virus_S,2
Grapevine_virus_T,53
Grapevine_yellow_speckle_viroid,19
Grapevine_yellow_speckle_viroid_1,204
Grapevine_yellow_speckle_viroid_2,111
Heracleum_latent_virus,1
Hop_stunt_viroid,130
Leptosphaerulina_chartarum_flexivirus_1,1
Neofusicoccum_parvum_RNA_virus_1,1
Neofusicoccum_parvum_chrysovirus_1,4
Neofusicoccum_parvum_mitovirus_1,1
Neofusicoccum_parvum_narnavirus_1,1
Neofusicoccum_parvum_narnavirus_2,1
Neofusicoccum_parvum_ourmia_like_virus_1,1
Peach_rosette_mosaic_virus,1
Penicillium_adametzioides_negative_stranded_RNA_virus_1,1
Penicillium_cairnsense_negative_stranded_RNA_virus_1,1
Penicillium_glabrum_RNA_virus_1,1
Penicillium_glabrum_negative_stranded_RNA_virus_1,1
Penicillium_miczynskii_RNA_virus_1,1
Penicillium_sumatrense_ourmia_like_virus_1,1
Pericornia_byssoides_totivirus_1,1
Phaeoacremonium_minimum_mitovirus_1,1
Phaeoacremonium_minimum_ourmia_like_virus_1,1
Phaeoacremonium_minimum_ourmia_like_virus_2,1
Phaeoacremonium_minimum_ourmia_like_virus_3,1
Phaeoacremonium_minimum_tetramycovirus_1,4
Pineapple_mealybug_wilt_associated_virus_4,1
Plum_bark_necrosis_stem_pitting_associated_virus,2
Potato_virus_T,1
Prunus_necrotic_ringspot_virus,1
Raspberry_bushy_dwarf_virus,18
Raspberry_ringspot_virus,9
Rosellinia_necatrix_partitivirus_1_W8,4
Streptomyces_phage_Caliburn,2
Temperate_fruit_decay_associated_virus,46
Tobacco_ringspot_virus,13
Tomato_black_ring_virus,2
Tomato_ringspot_virus,17
Wild_vitis_virus_1,13
synthetic_construct,2
