country,freq
Albania,1
Algeria,17
Algeria_Alger,1
Algeria_Boumerdes,1
Austria,7
Brazil,14
Brazil_Sao_Roque_SP,6
Canada,32
Chile,12
China,224
Croatia,1
Czech_Republic,1
Egypt_Alexandria,7
France,23
Germany,1
Greece,7
Hungary,8
Hungary_Tokaj_Mad,4
India,23
India_Himachal_Pradesh,1
Israel,6
Italy,20
Japan_Hiroshima_Higashi_hiroshima,3
Jordan,1
New_Zealand,6
Nigeria,3
Pakistan,6
Poland,7
Portugal,100
Slovakia,1
Slovenia,44
South_Africa,11
South_Korea,1
South_Korea_Chuncheon_Gangwon_do,1
Spain,121
Spain_Andalusia,2
Spain_Balearic_Islands,1
Spain_Palma_de_Mallorca,1
Switzerland,1
Syria,4
Tromelin_Island,1
Tunisia,3
Turkey,3
Turkey_Bekilli_Denizli,1
Turkey_Esme_Usak,1
Turkey_Kemalpasa_Izmir,1
Turkey_Menderes_Izmir,1
Turkey_Salihli_Manisa,1
USA,734
USA_Benton_County_WA,3
USA_CA,1
USA_California_Napa_Valley,50
USA_Idaho,64
USA_Texas,1
USA_Virginia,11
no_value,20
